Timestamp,Current,Total voltage,SOC,Temperature,SOH,Equivalent cycle,Application status,Grid status,Grid power,Grid energy consumption,Grid cumulative energy consumption
1556770215000,10,63.47405978,0.768118838,23.49063531,0.996996033,0.162373983,1,1,634.7405978,176.3168327,877.6493442
1556771215000,10,63.60657412,0.777405996,22.20439381,0.996987122,0.167017562,1,1,636.0657412,176.6849281,1054.334272
1556772215000,10,63.74718231,0.786693236,21.66434601,0.996978397,0.171661182,1,1,637.4718231,177.0755064,1231.409779
1556773215000,-300,60.23019746,0.50807358,126.8458022,0.996159145,0.31097101,1,0,0,0,1231.409779
1556774215000,10,59.43608396,0.51736854,71.99427584,0.99609174,0.31561849,1,1,594.3608396,165.1002332,1396.510012
1556775215000,10,59.62656394,0.526664129,45.82323129,0.996070871,0.320266284,1,1,596.2656394,165.6293443,1562.139356
1556776215000,10,59.7608462,0.535959913,33.40571592,0.996058808,0.324914176,1,1,597.608462,166.0023506,1728.141707
1556777215000,10,59.88221011,0.545255809,27.58858269,0.996049453,0.329562124,1,1,598.8221011,166.3394725,1894.481179
1556778215000,10,60.01527718,0.554551792,24.94357941,0.996041118,0.334210116,1,1,600.1527718,166.7091033,2061.190283
1556779215000,10,60.15830244,0.563847854,23.82724941,0.996033188,0.338858146,1,1,601.5830244,167.1063957,2228.296678
1556780215000,10,60.30780506,0.573143989,23.45130458,0.996025398,0.343506214,1,1,603.0780506,167.5216807,2395.818359
1556781215000,10,60.4614993,0.582440197,23.43718333,0.996017626,0.348154318,1,1,604.614993,167.9486092,2563.766968
1556782215000,10,60.61784059,0.591736477,23.60261408,0.996009811,0.352802458,1,1,606.1784059,168.3828905,2732.149859
1556783215000,10,60.77560706,0.601032831,23.8593482,0.996001922,0.357450635,1,1,607.7560706,168.8211307,2900.970989
1556784215000,10,60.93370086,0.610329258,24.16416189,0.99599394,0.362098849,1,1,609.3370086,169.2602802,3070.23127
1556785215000,10,61.09128144,0.61962576,24.49538286,0.995985854,0.366747099,1,1,610.9128144,169.698004,3239.929274
